Date,Close,High,Low,Open,Volume,MA_7,MA_30,Volatility
2022-01-03,178.64566040039062,179.4995892112378,174.42515503160624,174.5429321185891,104487900.0,,,0.029072699295459647
2022-01-04,176.37835693359375,179.55847298837972,175.80907606705392,179.25420553725706,99310400.0,,,0.020916646893098998
2022-01-05,171.6866912841797,176.83964771384632,171.4118681394032,176.2900014242933,94537600.0,,,0.03078892467292905
2022-01-06,168.8206787109375,172.05968310015797,168.46733250526367,169.50773661732023,96904000.0,,,0.021192841498464288
2022-01-07,168.98753356933594,170.9211204367095,167.86860642072668,169.69422597653536,86709100.0,,,0.017988319864253352
2022-01-10,169.0072021484375,169.3114696396271,165.0615045755219,165.95468751702438,106765600.0,,,0.02560918963900442
2022-01-11,171.84375,171.9418925722171,167.66249900972133,169.13477238363146,76138300.0,172.19569614955358,,0.02530167807710921
2022-01-12,172.28541564941406,173.90491024436494,171.58854802680634,172.8645062038037,74805200.0,171.28708975655692,,0.013399871774878194
2022-01-13,169.0072021484375,173.35530980310014,168.61458685598154,172.5308401540557,84505800.0,170.23406764439173,,0.027477539336651504
2022-01-14,169.8709259033203,170.56779364905069,167.92751407393143,168.17289299389805,80440800.0,169.97467258998327,,0.015699792803201947
2022-01-18,166.66136169433594,169.3507050116675,166.2785711868531,168.33974508224512,90956700.0,169.66619873046875,,0.01824960482928999
2022-01-19,163.15731811523438,167.9176743026287,162.87268520870165,166.85763576058818,94815000.0,168.83331080845423,,0.03023529052734358
2022-01-20,161.46913146972656,166.54356549753263,161.14522951347425,163.8934762825247,91420500.0,167.7564435686384,,0.032938077259112845
2022-01-21,159.40792846679688,163.25546724898456,159.29996116779537,161.38076913756592,122848900.0,165.97989763532365,,0.024510393043283802
2022-01-24,158.6325225830078,159.29996087836932,151.84043745137762,157.06210684561927,162294600.0,164.02948434012276,,0.047494100116228975
2022-01-25,156.82659912109375,159.75151211969052,154.11762080461585,156.04138345672908,115798400.0,162.28939819335938,,0.036105110005237584
2022-01-26,156.73822021484375,161.35134029387297,154.90279093312674,160.47779205545413,108275300.0,160.41329738071985,,0.04018343770905004
2022-01-27,156.27691650390625,160.81151382611307,155.35428943492713,159.44720772831658,121954600.0,158.9298052106585,,0.03422590128065808
2022-01-28,167.18154907226562,167.2011835771804,159.79073801782928,162.64695192499494,179935700.0,159.50469534737724,,0.045561539713135535
2022-01-31,171.5492706298828,171.76520522888097,166.37667997036093,167.0146740043963,115541600.0,160.94471522739954,,0.032263783351025824
2022-02-01,171.3824462890625,171.6081906924981,169.12495732448602,170.79353091508946,86213900.0,162.65536063058036,,0.014539387731533234
2022-02-02,172.58969116210938,172.62896017118422,170.12609251689005,171.51984280427115,84914300.0,164.6492418561663,,0.014592292141675388
2022-02-03,169.7040557861328,172.98232955327137,168.9384747506924,171.2548523641826,89418100.0,166.48887852260046,,0.02361308159595679
2022-02-04,169.4190673828125,171.0996042103979,167.7385305552271,168.72129677126426,82465400.0,168.30042811802454,,0.019920861915419082
2022-02-07,168.70164489746094,170.9521728360201,168.00387431629863,169.88096130618518,77251200.0,170.0753893171038,,0.017355084978637518
2022-02-08,171.81700134277344,172.32804392038554,168.4755875609354,168.7704203940124,74829200.0,170.7375967843192,,0.02282660877691824
2022-02-09,173.2420196533203,173.60563833840823,171.8857975368838,173.01598763252147,71285000.0,170.9794180733817,,0.009940357680570427
2022-02-10,169.15371704101562,172.4558121410886,168.59354809326686,171.13890900487118,90865900.0,170.66102818080358,,0.022568006716180432
2022-02-11,165.7336883544922,170.09717260247885,165.14402264688573,169.3600979658817,98670700.0,169.68159920828683,,0.029246262933733967
2022-02-14,165.96954345703125,166.65747672658372,163.68951891129095,164.48555705147456,86185500.0,169.1480974469866,167.7382369995117,0.018043880985635575
2022-02-15,169.81214904785156,169.96939522398472,167.31592973397568,168.02352253075418,62527400.0,169.2042519705636,167.44378662109375,0.015792226290954964
2022-02-16,169.57627868652344,170.3526572392932,167.1193636519341,168.88834547600229,61177400.0,169.3291996547154,167.21705067952473,0.01914456310319249
2022-02-17,165.96954345703125,168.94732353481027,165.56660575778602,168.0824845697611,69589300.0,168.4938485281808,167.02647908528647,0.020113444810610878
2022-02-18,164.41677856445312,167.60093126737578,163.32590754694263,166.89335344125396,82772700.0,167.23309980119978,166.879682413737,0.025615302420883713
2022-02-22,161.48814392089844,163.81729494035432,159.35552814005308,162.1367581949425,91162800.0,166.13801792689733,166.62970275878905,0.02751853959567084
2022-02-23,157.3113555908203,163.28655947595425,156.99686328327715,162.6870716360414,90009200.0,164.93482753208704,166.23984120686848,0.03866131542860527
2022-02-24,159.93536376953125,160.0434686425656,149.38045024208816,149.95045639119465,141147500.0,164.0728018624442,165.8428949991862,0.07111027640129014
2022-02-25,162.00900268554688,162.27433874391238,158.097582687372,161.0163992959612,91974200.0,162.95806666782923,165.50034790039064,0.025939941986052945
2022-02-28,162.2743377685547,162.569170605232,159.63069449285575,160.249841950296,95056600.0,161.91493225097656,165.27591908772786,0.018336842499274666
2022-03-01,160.38742065429688,163.72883431123614,159.17862257926774,161.86156976875884,83474400.0,161.11748613630022,164.95980224609374,0.028111748443246883
2022-03-02,163.6894989013672,164.47571468295504,160.14171312084568,161.55689852854007,79724800.0,161.01358904157365,164.8607401529948,0.02682647167396405
2022-03-03,163.36520385742188,165.9990247912093,162.69693011047048,165.56660530985462,76678400.0,161.28174046107702,164.86766967773437,0.0199442071941925
2022-03-04,160.35792541503906,162.69691327903544,159.30637359945834,161.65518372489828,83737200.0,161.7169647216797,164.83062947591145,0.02097390013392369
